Site,Sinuosity,Slope,WDRatio,SubEmbed,HabQual,Elev,RoadDen,Agricult,HumanUse,BasinAre
S1,1.069776977,0.325,20.66205133,79.33962264,11.17,1130,21.56,41.1,53.42,14.3162
S2,1.009202193,0.575,8.440508837,96.90909091,8.08,225,9.39,26.79,26.82,12.021
S3,1.113169751,1.1,19.79713098,48.20754717,13.42,940,18.62,76.73,76.73,3.6239
S4,1.067091344,1.95,12.16639148,65.68627451,15.67,1310,6.22,0,0,2.9981
S5,1.105913183,2.5,19.49764754,74.72727273,16.5,800,13.32,14.96,14.96,18.2062
S6,1.204466799,0.95,24.61821583,59.69387755,16.25,1200,16.36,36.28,37.33,133.5483
S7,1.180423055,2.65,10.16028908,10.6122449,10.75,2590,21.49,80.05,80.05,0.1579
S8,1.0500987,1.9,8.154212662,44.18181818,14.25,2040,42.08,52.38,67.23,2.0584
S9,1.007235141,2.35,25.45243541,64.81818182,11.58,1640,17.08,0.29,9.43,116.5452
S10,1.058237304,1.45,20.03465796,45.74074074,11.42,1520,5.5,0,0,4.7556
S11,1.07745757,4.7,22.48617089,51.36363636,13.42,1700,7.16,12.87,12.87,8.67
S12,2.00679467,1.35,29.40174573,61.87272727,15.58,1200,13.97,43.41,43.41,104.8262
S13,1.067637445,1.925,23.98907944,24.89795918,13.83,570,57.21,0,40.27,2.3822
S14,1.06245091,9.1,22.07512455,44.9,18.83,1600,5.64,0,0,1.7666
S15,1.1902816,1.06,13.02329542,94.62962963,12.75,1630,15.2,65.25,65.25,7.0499
S16,1.500093943,0.7425,13.75766656,52.5,13.5,250,82.58,2.11,90.72,47.5649
S17,1.176033924,0.21,8.683369798,92.96296296,9.75,380,19.15,49.23,53.08,58.3676
S18,1.043243366,0.37,38.25456946,18.81818182,17.67,1760,8.34,4.27,4.48,142.0155
S19,1.128468853,0.31,28.97518269,53.90909091,15.08,1260,13.05,10.19,12.41,22.0509
S20,1.303857144,2.41,17.83362217,16.54545455,14,1840,8.92,0,0,3.7945
S21,1.130496248,3.125,12.76059528,45.30612245,12.5,840,10.28,24.68,24.68,1.3787
S22,1.160267002,0.42,12.21919176,82.15909091,14.33,310,14.69,15.1,18.45,20.1875
S23,1.032400772,1.0125,23.84159968,86.66666667,7.08,240,9.17,44.12,44.12,7.0282
S24,1.144267733,0.58,25.33496308,61.81818182,14,1080,19.17,25.03,25.42,32.6722
S25,1.214386945,1.3,18.3570225,48.46153846,14.58,410,12.13,16.69,16.69,3.9398
S26,1.089625417,0.155,13.063329,78.64583333,12.92,390,13.69,19.53,24.23,24.6735
S27,1.351116787,1.025,23.74998748,36.2037037,18.58,2200,15.89,40.92,41.06,112.4762
S28,1.140327455,1.725,19.30560234,32.9,14.5,2360,5.06,0,0,10.1936
S29,1.06699331,0.585,22.81442166,64.25925926,10.67,960,9.73,0,2.62,35.5435
S30,1.008399957,1.2,17.02475939,64.54545455,11.92,2547,9.62,44.53,44.9,49.1481
S31,1.093792172,1,11.95032454,76.11111111,12.42,2275,10.2,59.44,59.44,47.7843
S32,1.085619487,1.3,15.99559916,70.18518519,12.58,2720,11.36,67.01,67.2,34.428
S33,1.025776796,0.7,12.64824919,84.18181818,12.17,1259,15.22,76.72,82.72,32.3745
S34,1.088035578,1,18.48301401,68.63636364,14.58,1400,13,2.26,2.26,7.4085
S35,1.1918769,1.852,22.59964194,42.82051282,14.83,1420,15.68,24.03,25.02,90.6747
S36,1.065590301,1,11.80471201,90.72727273,11.25,1066,14.3,3.77,3.77,5.2293
S37,1.255988247,1.15,31.60968041,72.87037037,13,2117,4.42,5.59,5.59,59.768
S38,1.044529853,1.95,24.13275968,60.18518519,16,2454,7.1,0,0,62.7218
S39,1.015902892,1.65,31.4943326,60.90909091,13.25,2000,9.23,40.67,41.16,67.2052
S40,1.08246662,1,53.01791227,77.17272727,11.67,2318,4.78,6.23,6.23,28.9678
S41,1.135634737,1.97,28.55461435,41.66666667,11.5,1630,11.27,0,0,15.7516
S42,1.038808384,1.4,29.75412918,11.11111111,13.5,2080,8.46,0,0,45.0189
S43,1.256199058,0.6,25.0676143,48.54545455,16.42,2200,11.3,57.15,57.15,81.937
S44,1.269941113,1.885,18.16813895,23.36363636,16.92,1270,4.61,0,0,15.3501
S45,1.401628239,1.05,23.84173965,45.54545455,16.33,1000,9.95,26.21,26.21,26.6302
